hash_commit,autor,data_commit,arquivo,adicoes,remocoes,loc,complexidade,tipo_modificacao
e7615cbc6b4af5985c4e0d4848a426e2d35f79c3,Kenneth Reitz,2011-02-13 13:41:18-05:00,README,0,0,,,ADD
d0bf5538097cbdee663eddf4e29e9f34106c67cb,Kenneth Reitz,2011-02-13 13:52:30-05:00,README,0,0,,,DELETE
0477018761c67152cdcc0b83d56f27e701e65b9e,Kenneth Reitz,2011-02-13 13:52:37-05:00,setup.py,48,0,32.0,1.0,ADD
75b499dd046060021db0c7a772dd34df9374a30b,Kenneth Reitz,2011-02-13 13:52:47-05:00,test_requests.py,4,0,1.0,0.0,ADD
c51b44d96bb460ebea3daee7deeff6b686585087,Kenneth Reitz,2011-02-13 13:53:01-05:00,LICENSE,13,0,,,ADD
72e99c0f49823a5b798f8d15896480b7216c4fba,Kenneth Reitz,2011-02-13 13:53:08-05:00,HISTORY.rst,0,0,,,ADD
ffdbc387ea67398ac123b2ff5a5d69df3e198340,Kenneth Reitz,2011-02-13 13:53:15-05:00,.gitignore,1,0,,,ADD
853a4fd04ce3f4644e204418ee2cd694d9f29180,Kenneth Reitz,2011-02-13 13:53:25-05:00,reqs.txt,0,0,,,ADD
853a4fd04ce3f4644e204418ee2cd694d9f29180,Kenneth Reitz,2011-02-13 13:53:25-05:00,__init__.py,3,0,1.0,0.0,ADD
853a4fd04ce3f4644e204418ee2cd694d9f29180,Kenneth Reitz,2011-02-13 13:53:25-05:00,core.py,1,0,0.0,0.0,ADD
a6ffd97ef150f50eb1a0e0e54edf217831011753,Kenneth Reitz,2011-02-13 13:56:54-05:00,README.rst,59,0,,,ADD
45c6897128c1e20a98cf259101067123a4768793,Kenneth Reitz,2011-02-13 15:08:32-05:00,README.rst,52,3,,,MODIFY
23842865e973f9aacd58fa935f1fec5c2069de11,Kenneth Reitz,2011-02-13 15:10:54-05:00,README.rst,2,1,,,MODIFY
b079a4e03e1a07ce0dd10a3b17d795c9452c9691,Kenneth Reitz,2011-02-13 15:47:00-05:00,README.rst,1,0,,,MODIFY
c840bc7d0962d253afd4c8a72c242cbf2b882dc0,Kenneth Reitz,2011-02-13 15:49:34-05:00,README.rst,11,3,,,MODIFY
